Doc ID,Question,Answer,Ground Truth,Prediction,Score,Stage,Text Output,Cumulative Confidences
27,Is there a dining table in the image?,no,no,no,1.0,Stage 1,No,"[0.9949198366211488, 0.9949192437022064]"
27,Is there a dining table in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9928505421684816, 0.99284983212572]"
28,Is there a car in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9262595773743224, 0.9262563753233098]"
28,Is there a car in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9465560914085938, 0.9465524806783158]"
29,Is there a truck in the image?,no,no,no,1.0,Stage 1,No,"[0.592604398827417, 0.5926036924471838]"
29,Is there a truck in the image?,no,no,no,1.0,Stage 2,['No'],"[0.5233649612473084, 0.5233646493498189]"
30,Is there a dog in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9371681214378906, 0.9371562793021372]"
30,Is there a dog in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9863242507980896, 0.9863177840509958]"
31,Is there a person in the image?,no,no,no,1.0,Stage 1,No,"[0.981683611969812, 0.9816740159518929]"
31,Is there a person in the image?,no,no,no,1.0,Stage 2,['No'],"[0.970612406830652, 0.97060384468257]"
32,Is there a dining table in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.5963588357971741, 0.5963549258235877]"
32,Is there a dining table in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.6958775521324707, 0.6958750635500004]"
33,Is there a chair in the image?,no,no,no,1.0,Stage 1,No,"[0.9273051024483276, 0.927304328737381]"
33,Is there a chair in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9441183806465698, 0.9441178180025748]"
34,Is there a bed in the image?,yes,yes,no,0.0,Stage 1,No,"[0.9398603440331056, 0.9398591116861688]"
34,Is there a bed in the image?,yes,yes,no,0.0,Stage 2,['No'],"[0.907239317993982, 0.907238344722515]"
35,Is there a book in the image?,no,no,no,1.0,Stage 1,No,"[0.9552564025925232, 0.9552545806810554]"
35,Is there a book in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9123137594269348, 0.9123103880736378]"
36,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9902690650032592, 0.990263516786516]"
36,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.99098938713537, 0.9909867882613714]"
37,Is there a car in the image?,no,no,no,1.0,Stage 1,No,"[0.9920403362320496, 0.9920365519976956]"
37,Is there a car in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9901161790894104, 0.9901134644743576]"
38,Is there a spoon in the image?,yes,yes,no,0.0,Stage 1,No,"[0.6825032235191895, 0.6825009454871568]"
38,Is there a spoon in the image?,yes,yes,no,0.0,Stage 2,['No'],"[0.5466552973793579, 0.5466522997801004]"
39,Is there a cup in the image?,no,no,no,1.0,Stage 1,No,"[0.9323662520454956, 0.9323650295248288]"
39,Is there a cup in the image?,no,no,no,1.0,Stage 2,['No'],"[0.8396146298454834, 0.8396136290308097]"
40,Is there a fork in the image?,yes,yes,no,0.0,Stage 1,No,"[0.8774234057472778, 0.8774194311482285]"
40,Is there a fork in the image?,yes,yes,no,0.0,Stage 2,['No'],"[0.7340254784630371, 0.734021365911617]"
41,Is there a dining table in the image?,no,no,no,1.0,Stage 1,Yes,"[0.6512982846306397, 0.651295800189984]"
41,Is there a dining table in the image?,no,no,no,1.0,Stage 2,['No'],"[0.6825010777519775, 0.6825001014946045]"
42,Is there a tv in the image?,yes,yes,no,0.0,Stage 1,No,"[0.9867253304527832, 0.9867213312393844]"
42,Is there a tv in the image?,yes,yes,no,0.0,Stage 2,['No'],"[0.9816662670181824, 0.981662288309248]"
43,Is there a person in the image?,no,no,no,1.0,Stage 1,No,"[0.9902539850281312, 0.9902477286110328]"
43,Is there a person in the image?,no,no,no,1.0,Stage 2,['No'],"[0.988446831803186, 0.988426093462185]"
44,Is there a toaster in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.7851971984909607, 0.7851890551258639]"
44,Is there a toaster in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.7576717735336853, 0.7576674381767884]"
45,Is there a book in the image?,no,no,no,1.0,Stage 1,No,"[0.9838078619049622, 0.983806571933944]"
45,Is there a book in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9608795047806336, 0.9608790466936692]"
46,Is there a microwave in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9457162619637084, 0.9457027334786356]"
46,Is there a microwave in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.959674596886499, 0.9596649872038072]"
47,Is there a bottle in the image?,no,no,no,1.0,Stage 1,No,"[0.9830226303146912, 0.9830205210752648]"
47,Is there a bottle in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9701512456940248, 0.9701505518847952]"
48,Is there a backpack in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.7690253854797913, 0.7690237354072366]"
48,Is there a backpack in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9827921987579896, 0.9827891527493142]"
49,Is there a handbag in the image?,no,no,no,1.0,Stage 1,No,"[0.9172430635498596, 0.9172421888904324]"
49,Is there a handbag in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9251614213989808, 0.9251607597644824]"
50,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9776667953537536, 0.977663765230454]"
50,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9747560025261476, 0.9747525166245068]"
51,Is there a car in the image?,no,no,no,1.0,Stage 1,No,"[0.9927449227379396, 0.9927433843597936]"
51,Is there a car in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9935911894844603, 0.9935895313496224]"
52,Is there a skis in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9578575492905212, 0.957851611739374]"
52,Is there a skis in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9538996816681458, 0.9538949057879949]"
53,Is there a snowboard in the image?,no,no,no,1.0,Stage 1,No,"[0.9380499125526978, 0.9380463342700665]"
53,Is there a snowboard in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9642565847443176, 0.9642530214421284]"
54,Is there a bird in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.99215829382406, 0.9921377141628288]"
54,Is there a bird in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9957720638321472, 0.9957491538126296]"
55,Is there a handbag in the image?,no,no,no,1.0,Stage 1,No,"[0.9840471149490906, 0.9840404285167202]"
55,Is there a handbag in the image?,no,no,no,1.0,Stage 2,['No'],"[0.948062300782068, 0.948057780163541]"
56,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.6756693721817566, 0.6756542295889477]"
56,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9003679753349854, 0.9003384590626868]"
57,Is there a car in the image?,no,no,no,1.0,Stage 1,No,"[0.9877262712524963, 0.9877199130593274]"
57,Is there a car in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9735897780464722, 0.9735858320716756]"
58,Is there a boat in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9917618037270142, 0.9917500993314078]"
58,Is there a boat in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.99490225325094, 0.994898576701116]"
59,Is there a chair in the image?,no,no,no,1.0,Stage 1,No,"[0.973609745602472, 0.973608236876594]"
59,Is there a chair in the image?,no,no,no,1.0,Stage 2,['No'],"[0.7460451723145081, 0.7460445498405078]"
60,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9832774997757509, 0.983271287436033]"
60,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9930579663322998, 0.9930541782160968]"
61,Is there a car in the image?,no,no,no,1.0,Stage 1,No,"[0.9916573763893676, 0.9916552486226498]"
61,Is there a car in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9861152173088624, 0.9861139243124348]"
62,Is there an orange in the imange?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9874858261154724, 0.9874662851119148]"
62,Is there an orange in the imange?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9973318577812744, 0.9973158075660088]"
63,Is there a dining table in the image?,no,no,no,1.0,Stage 1,No,"[0.9805321098373962, 0.9805317592698408]"
63,Is there a dining table in the image?,no,no,no,1.0,Stage 2,['No'],"[0.8557349444435669, 0.8557345364829213]"
64,Is there a bottle in the image?,yes,yes,yes,1.0,Stage 1,No,"[0.9085028172539308, 0.9085019509289778]"
64,Is there a bottle in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.5773988963173462, 0.5773980703993394]"
65,Is there a cup in the image?,no,no,no,1.0,Stage 1,No,"[0.8822996617363525, 0.8822985048631082]"
65,Is there a cup in the image?,no,no,no,1.0,Stage 2,['No'],"[0.859489381413324, 0.859488254448969]"
66,Is there a backpack in the image?,yes,yes,yes,1.0,Stage 1,No,"[0.5038182736443115, 0.5038173727974165]"
66,Is there a backpack in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.7216406465576721, 0.7216370335265472]"
67,Is there a handbag in the image?,no,no,no,1.0,Stage 1,No,"[0.8595267535255982, 0.8595249092672254]"
67,Is there a handbag in the image?,no,no,no,1.0,Stage 2,['No'],"[0.7518743277596069, 0.7518734315307499]"
68,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9584086538361144, 0.958403855380937]"
68,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.975836992363794, 0.9758316413349872]"
69,Is there a car in the image?,no,no,no,1.0,Stage 1,No,"[0.9293647409485412, 0.9293626360521782]"
69,Is there a car in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9229580761002136, 0.9229519147826234]"
70,Is there a bus in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9539082647369934, 0.953902237951878]"
70,Is there a bus in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9710636139916016, 0.9710556266622642]"
71,Is there a traffic light in the image?,no,no,no,1.0,Stage 1,No,"[0.8055357337997986, 0.8055321808686784]"
71,Is there a traffic light in the image?,no,no,no,1.0,Stage 2,['No'],"[0.7980946899460388, 0.7980899330107992]"
72,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9920437933014464, 0.9920379986196964]"
72,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9920421243713928, 0.992037394045123]"
73,Is there a car in the image?,no,no,no,1.0,Stage 1,No,"[0.9936874509857728, 0.9936837789251144]"
73,Is there a car in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9936840535210204, 0.9936807368420272]"
74,Is there a dining table in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.8104150892304016, 0.8104105486881128]"
74,Is there a dining table in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9343576432274414, 0.9343534107246654]"
75,Is there a cup in the image?,no,no,no,1.0,Stage 1,No,"[0.9833019376801088, 0.9832997106226562]"
75,Is there a cup in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9731831551598144, 0.9731809510201548]"
76,Is there a chair in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.5926054121063782, 0.5926039286401653]"
76,Is there a chair in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9642807246254516, 0.9642784256974776]"
77,Is there a couch in the image?,no,no,no,1.0,Stage 1,No,"[0.9776757956551148, 0.9776745137244752]"
77,Is there a couch in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9715096355484558, 0.9715083617028988]"
78,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.971511483292444, 0.971506619235459]"
78,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9871269465492798, 0.9871243578045488]"
79,Is there a car in the image?,no,no,no,1.0,Stage 1,No,"[0.9888112546013428, 0.9888077184356092]"
79,Is there a car in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9849931002663208, 0.9849919261615432]"
80,Is there a sandwich in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.8886656166122986, 0.8886612732760961]"
80,Is there a sandwich in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.8197799325989319, 0.8197778804478595]"
81,Is there a bowl in the image?,no,no,no,1.0,Stage 1,No,"[0.9808331728981567, 0.980832003751983]"
81,Is there a bowl in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9545739890144898, 0.954573420139512]"
82,Is there a hot dog in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.8975944520042969, 0.8975810768944403]"
82,Is there a hot dog in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9578481317566468, 0.957841052419924]"
83,Is there a handbag in the image?,no,no,no,1.0,Stage 1,No,"[0.904579222302301, 0.9045773892105696]"
83,Is there a handbag in the image?,no,no,no,1.0,Stage 2,['No'],"[0.8855513335274292, 0.8855507002203123]"
84,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.994976818661554, 0.9949736162781004]"
84,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.989301860432489, 0.9892992659840368]"
85,Is there a dining table in the image?,no,no,no,1.0,Stage 1,No,"[0.9955129028366638, 0.9955123095642856]"
85,Is there a dining table in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9972277284668518, 0.9972271341725294]"
86,Is there a car in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9755485058830812, 0.9755452497361952]"
86,Is there a car in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9945916534470154, 0.994586436705641]"
87,Is there a truck in the image?,no,no,no,1.0,Stage 1,No,"[0.6076050997780396, 0.6076043030849051]"
87,Is there a truck in the image?,no,no,no,1.0,Stage 2,['No'],"[0.5233615637825562, 0.523361127107971]"
88,Is there a frisbee in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9817104936646056, 0.9817031209351156]"
88,Is there a frisbee in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.8961877823875977, 0.8961809451070505]"
89,Is there a dog in the image?,no,no,no,1.0,Stage 1,No,"[0.96586811552511, 0.9658561410147042]"
89,Is there a dog in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9609190226601196, 0.9609134097829852]"
90,Is there a knife in the image?,yes,yes,no,0.0,Stage 1,No,"[0.8103945852325989, 0.8103895617723748]"
90,Is there a knife in the image?,yes,yes,no,0.0,Stage 2,['No'],"[0.7153381706284119, 0.7153366357507537]"
91,Is there a cup in the image?,no,no,no,1.0,Stage 1,No,"[0.9886406661079956, 0.988638544814134]"
91,Is there a cup in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9843005538986755, 0.984299497957178]"
92,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.984729826550348, 0.9847254832579292]"
92,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9864832759903504, 0.9864805713356776]"
93,Is there a car in the image?,no,no,no,1.0,Stage 1,No,"[0.9899559021996094, 0.9899523619404114]"
93,Is there a car in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9842872620628906, 0.9842863234718376]"
94,Is there a cake in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9827954174088074, 0.9827867477896692]"
94,Is there a cake in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9893222452210022, 0.9893171740546488]"
95,Is there a bottle in the image?,no,no,no,1.0,Stage 1,No,"[0.983301043610437, 0.983298347680534]"
95,Is there a bottle in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9858951569603516, 0.98589409930819]"
96,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9904166461037232, 0.9904102705920688]"
96,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9908456207321716, 0.9908405417571486]"
97,Is there a car in the image?,no,no,no,1.0,Stage 1,No,"[0.9389764667557312, 0.9389743400899964]"
97,Is there a car in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9441269041107728, 0.9441246532312356]"
98,Is there a remote in the image?,yes,yes,no,0.0,Stage 1,No,"[0.9362091423080994, 0.9362074683293194]"
98,Is there a remote in the image?,yes,yes,no,0.0,Stage 2,['No'],"[0.936202883820398, 0.9362013214568892]"
99,Is there a tv in the image?,no,no,no,1.0,Stage 1,No,"[0.9701834918068482, 0.970182219700134]"
99,Is there a tv in the image?,no,no,no,1.0,Stage 2,['No'],"[0.985675811867578, 0.9856744019455866]"
100,Is there a handbag in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.5697851778076721, 0.5697789968092025]"
100,Is there a handbag in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.7634050847099854, 0.7633971673532584]"
101,Is there a backpack in the image?,no,no,no,1.0,Stage 1,No,"[0.970652163128717, 0.9706495018784226]"
101,Is there a backpack in the image?,no,no,no,1.0,Stage 2,['No'],"[0.964283526043756, 0.964280997205995]"
102,Is there a baseball glove in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9362298251198364, 0.9362275930676132]"
102,Is there a baseball glove in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9473356605576112, 0.9473337408217566]"
103,Is there a sports ball in the image?,no,no,no,1.0,Stage 1,No,"[0.7548250556992127, 0.7548242459352675]"
103,Is there a sports ball in the image?,no,no,no,1.0,Stage 2,['No'],"[0.7717456222580505, 0.7717446103435044]"
104,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9840487242744996, 0.9840466128334168]"
104,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9840495587395264, 0.9840472126809556]"
105,Is there a car in the image?,no,no,no,1.0,Stage 1,No,"[0.9928580523537232, 0.9928566321581724]"
105,Is there a car in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9898042679833008, 0.9898030881436454]"
106,Is there a baseball bat in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.8887008429573608, 0.8886981945113281]"
106,Is there a baseball bat in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9620597959564758, 0.962056584831668]"
107,Is there a bench in the image?,no,no,no,1.0,Stage 1,No,"[0.5812480450676514, 0.5812478372552766]"
107,Is there a bench in the image?,no,no,no,1.0,Stage 2,['No'],"[0.6150185466812683, 0.6150184001109221]"
108,Is there a sink in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9488687516258788, 0.9488654714156428]"
108,Is there a sink in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.8722785116242004, 0.872276432037395]"
109,Is there a bottle in the image?,no,no,yes,0.0,Stage 1,No,"[0.5038225055740906, 0.5038215446593056]"
109,Is there a bottle in the image?,no,no,yes,0.0,Stage 2,['Yes'],"[0.7340399623917175, 0.7340387374037677]"
110,Is there a bench in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.8375506402062012, 0.8375483438821703]"
110,Is there a bench in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.7799220682190491, 0.7799208596356177]"
111,Is there a person in the image?,no,no,no,1.0,Stage 1,No,"[0.9978377224014832, 0.9978355813737994]"
111,Is there a person in the image?,no,no,no,1.0,Stage 2,['No'],"[0.997837483982904, 0.9978348671497416]"
112,Is there a toilet in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9473169446991516, 0.9473027157424088]"
112,Is there a toilet in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.957862377266748, 0.9578508445670928]"
113,Is there a vase in the image?,no,no,no,1.0,Stage 1,No,"[0.9949166775749756, 0.994914542814882]"
113,Is there a vase in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9908379913376404, 0.9908359834461432]"
114,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.8518741727875305, 0.8518666580754135]"
114,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.8030377627419067, 0.8030242649540843]"
115,Is there a car in the image?,no,no,no,1.0,Stage 1,No,"[0.9916606546448304, 0.9916594725923752]"
115,Is there a car in the image?,no,no,no,1.0,Stage 2,['No'],"[0.986117661099298, 0.9861161329908946]"
116,Is there a teddy bear in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9916483164833618, 0.9916381502050756]"
116,Is there a teddy bear in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9825166464851928, 0.9825099704520948]"
117,Is there a bed in the image?,no,no,no,1.0,Stage 1,No,"[0.9898059965179992, 0.9898054066466316]"
117,Is there a bed in the image?,no,no,no,1.0,Stage 2,['No'],"[0.983812928299768, 0.9838119901610276]"
118,Is there a bear in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9706459642456604, 0.970638327481682]"
118,Is there a bear in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.6112594605492188, 0.6112528296399966]"
119,Is there a couch in the image?,no,no,no,1.0,Stage 1,No,"[0.9888153673218324, 0.9888145422888718]"
119,Is there a couch in the image?,no,no,no,1.0,Stage 2,['No'],"[0.971521496872766, 0.9715205704548188]"
120,Is there a bowl in the image?,yes,yes,no,0.0,Stage 1,No,"[0.9590865970657898, 0.9590859111695074]"
120,Is there a bowl in the image?,yes,yes,no,0.0,Stage 2,['No'],"[0.8917087913559509, 0.8917082599452643]"
121,Is there a cup in the image?,no,no,no,1.0,Stage 1,No,"[0.9731875659035278, 0.97318663789686]"
